Race,gradient,f_rr,c_rr
all,0.7640503363991807,-533.8882361557445,-0.016901508669558394
Bahrain Grand Prix,1.1766337646758784,-3107.8527772320244,-0.09838651069804624
Saudi Arabian Grand Prix,1.06140794566283,-3037.38526494946,-0.09615569310531971
Australian Grand Prix,1.4281828203591402,-5172.8745020791985,-0.1637597109705269
Azerbaijan Grand Prix,0.8928933193945308,-1632.6975242729998,-0.05168694399405473
Miami Grand Prix,0.9655480638777933,-2216.8254687964027,-0.07017891075770075
Spanish Grand Prix,1.0701258086368357,-2579.199555859182,-0.08165072893862842
Canadian Grand Prix,0.7747344246731326,-706.2741479414684,-0.022358796890657538
Austrian Grand Prix,1.781996911735001,-8513.996193345029,-0.26953090690020415
British Grand Prix,1.493042993842627,-6177.511531094695,-0.19556389826247442
Hungarian Grand Prix,1.1579307650877961,-2653.66411411254,-0.08400808257870154
Belgian Grand Prix,0.7602129657453501,-464.41400234708993,-0.01470213568190305
Dutch Grand Prix,1.037485392432064,-2260.0866230776346,-0.07154844603610318
Italian Grand Prix,1.0420177171288796,-3071.321390003523,-0.09723002228691482
Singapore Grand Prix,0.2290968821085714,3738.057410948541,0.11833714522981813
Japanese Grand Prix,1.5505822864557035,-6825.481710815998,-0.21607694363135593
Qatar Grand Prix,1.0492354397797405,-2231.8494381652536,-0.07065453043115004
United States Grand Prix,0.9477970336288458,-1343.3131174392433,-0.04252578866283116
Mexican Grand Prix,0.9292798162183855,-2556.3891087423185,-0.08092860969419968
Brazilian Grand Prix,1.0420177171288796,-3071.321390003523,-0.09723002228691482
Las Vegas Grand Prix,1.0747413997008068,-3442.6553135259305,-0.10898548551439874
Abu Dhabi Grand Prix,1.4418479657066374,-5701.337617924338,-0.1804894744849133
