Race,gradient,f_rr,c_rr
all,0.7384391202204806,-278.9158430998684,-0.008829747915356633
Bahrain Grand Prix,1.0971438601201768,-2590.613110176257,-0.0820120522909269
Saudi Arabian Grand Prix,0.8794732207523863,-1287.2963043785192,-0.04075244250633208
Australian Grand Prix,1.3284029435620488,-4249.805044934289,-0.13453774019837436
Azerbaijan Grand Prix,1.1706116117730978,-3655.4705352873993,-0.11572266021132573
Miami Grand Prix,0.7971031529596132,-537.0187362562741,-0.01700061213542633
Spanish Grand Prix,1.0555553600207421,-2558.0085492499907,-0.08097987695563504
Canadian Grand Prix,1.0380288298700528,-2394.651629321543,-0.0758084230605588
Austrian Grand Prix,1.7029642705692967,-7888.956724634826,-0.24974378801688055
British Grand Prix,1.3759703573675772,-5302.796422244874,-0.16787270000332002
Hungarian Grand Prix,1.8331314054719465,-7987.144738753011,-0.2528521643763497
Belgian Grand Prix,0.6844877742053905,179.30038972068735,0.005676182553000403
Dutch Grand Prix,1.1966615614900327,-3924.7271618413993,-0.12424662253124265
Italian Grand Prix,1.0483708240935257,-3325.56554939141,-0.10527872906311249
Singapore Grand Prix,1.1440397882867934,-2967.813391533565,-0.09395322910243588
Japanese Grand Prix,1.5352036214346947,-6542.7479481328755,-0.20712633034275063
Qatar Grand Prix,1.4621872594075294,-5062.833382143821,-0.16027609620503291
United States Grand Prix,1.1463587964297306,-2893.2064779608913,-0.09159136886435097
Mexican Grand Prix,1.0076133381612065,-3109.6883407959526,-0.09844461985158864
Brazilian Grand Prix,1.0483708240935257,-3325.56554939141,-0.10527872906311249
Las Vegas Grand Prix,0.908923478602504,-2064.5036236387214,-0.06535679853992064
Abu Dhabi Grand Prix,1.3184723581806412,-4488.743435507481,-0.14210190626586766
